Instance,,,DynCA,,,,DynCA-short,,,,ScalableCA+,,,,HSCA+,,,,ScalableCA,,,,HSCA,
,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time,,min.size,avg.size,time
sparc_erc32.cnf,,397,408.4,3494.1,,416,428.1,1761.7,,449,457.4,3474.4,,592,602.4,2188.3,,447,454.3,3470.3,,592,602.2,2235.7
sparc_leon.cnf,,400,415.4,3421.9,,414,437.5,1750.0,,438,456.1,3443.5,,583,594.9,2530.7,,434,459.3,3461.7,,583,595.7,2498.5
sparclite_sim.cnf,,395,410.0,3333.1,,412,428.7,1746.7,,438,461.0,3317.3,,582,601.5,2070.4,,443,460.7,3519.4,,582,600.7,2151.7
stb.cnf,,416,432.5,3379.6,,437,458.4,1760.7,,475,490.6,3525.5,,642,658.8,2443.8,,467,492.9,3521.0,,642,658.3,2465.7
stdeval1.cnf,,420,427.0,3340.7,,434,447.2,1751.4,,465,478.1,3480.4,,632,645.9,2198.9,,460,476.7,3546.1,,632,647.1,2170.7
stm3210e_eval.cnf,,415,433.5,3522.3,,441,484.7,1781.4,,469,479.9,3515.9,,622,648.9,2514.1,,458,491.3,3555.9,,622,648.4,2517.2
ts1000.cnf,,451,460.4,3440.3,,470,491.2,1755.3,,500,516.6,3562.9,,668,685.2,2635.3,,501,524.7,3544.0,,668,685.6,2586.7
ts6.cnf,,444,456.3,3515.1,,470,486.0,1750.7,,496,523.1,3493.5,,662,687.0,2399.9,,505,526.2,3570.5,,662,685.9,2405.1
tx39_sim.cnf,,402,414.3,3451.2,,424,433.7,1718.8,,442,454.2,3449.5,,585,598.1,2288.6,,442,458.8,3466.8,,585,598.1,2254.1
uClinux.cnf,,67,68.0,2507.0,,67,68.0,1388.1,,54,54.1,2265.9,,68,68.7,967.1,,54,54.1,2448.7,,68,68.5,1103.6
uE250.cnf,,444,455.5,3467.1,,465,482.4,1778.0,,493,512.3,3453.4,,663,675.1,2622.0,,495,515.1,3550.6,,663,676.4,2558.2
vads.cnf,,442,459.7,3443.0,,476,486.8,1772.0,,499,514.8,3490.2,,674,689.3,2459.1,,500,518.1,3541.1,,674,688.9,2500.3
viper.cnf,,449,460.7,3500.4,,478,494.0,1762.7,,499,533.7,3562.0,,677,691.3,2808.1,,497,532.6,3579.5,,686,692.2,2749.4
vrc4373.cnf,,411,423.8,3415.2,,435,450.3,1759.9,,464,481.7,3541.8,,627,640.3,2352.0,,472,485.7,3529.1,,627,641.5,2325.1
